Miasto, Data i godzina, Temperatura,Opady,Wilgodnoœæ
Bia³ystok,2021-07-06 05:00:00+02:00,21.2,98.1,10
Bielsko Bia³a,2021-07-06 05:00:00+02:00,18,81.8,0
Chojnice,2021-07-06 04:00:00+02:00,15.8,96.2,9.9
Czêstochowa,2021-07-06 05:00:00+02:00,18.1,81.8,0
Elbl¹g,2021-07-06 05:00:00+02:00,17.7,91.9,1
Gdañsk,2021-07-06 05:00:00+02:00,19,86.8,0.01
Gorzów,2021-07-06 05:00:00+02:00,17.2,89.0,0
Hel,2021-07-06 05:00:00+02:00,19.2,84.6,0
Jelenia Góra,2021-07-06 05:00:00+02:00,15.2,96.1,0
Kalisz,2021-07-06 05:00:00+02:00,18.9,83.5,0.3
Kasprowy Wierch,2021-07-06 05:00:00+02:00,9.5,84.8,0
Katowice,2021-07-06 05:00:00+02:00,18.6,84.5,0
Kêtrzyn,2021-07-06 05:00:00+02:00,20,88.0,0.3
Kielce,2021-07-06 05:00:00+02:00,17.5,87.8,0.01
K³odzko,2021-07-06 05:00:00+02:00,15.1,87.6,0
Ko³o,2021-07-06 04:00:00+02:00,16.4,86.0,0
Ko³obrzeg,2021-07-06 05:00:00+02:00,17.3,93.7,0
Koszalin,2021-07-06 05:00:00+02:00,17.3,93.1,0.1
Kozienice,2021-07-06 05:00:00+02:00,20,79.4,0.9
Kraków,2021-07-06 05:00:00+02:00,18.1,89.0,0
Krosno,2021-07-06 05:00:00+02:00,16.8,86.6,3.4
Legnica,2021-07-06 04:00:00+02:00,15.1,93.0,0
Lesko,2021-07-06 05:00:00+02:00,16.1,90.7,0.7
Leszno,2021-07-06 05:00:00+02:00,17.3,85.5,0
Lêbork,2021-07-06 05:00:00+02:00,18,96.8,0.6
Lublin,2021-07-06 05:00:00+02:00,20,79.4,1.6
£eba,2021-07-06 05:00:00+02:00,18.6,92.6,0
£ódŸ,2021-07-06 05:00:00+02:00,19.7,85.7,0
Miko³ajki,2021-07-06 05:00:00+02:00,19.5,90.9,0.01
M³awa,2021-07-06 05:00:00+02:00,18.1,87.9,0.01
