Miasto,Data i godzina,Temperatura,Opady,Wilgodnoœæ
Bia³ystok,2021-07-07 05:00:00+02:00,21.4,87.5,2.5
Bielsko Bia³a,2021-07-07 05:00:00+02:00,21.4,63.3,0
Chojnice,2021-07-07 05:00:00+02:00,20,77.3,0.01
Czêstochowa,2021-07-07 05:00:00+02:00,21.7,68.5,0
Elbl¹g,2021-07-07 05:00:00+02:00,22.3,67.3,15.5
Gdañsk,2021-07-07 05:00:00+02:00,20.8,78.4,1.4
Gorzów,2021-07-07 05:00:00+02:00,19.9,75.3,5
Hel,2021-07-07 05:00:00+02:00,21.5,80.6,0.01
Jelenia Góra,2021-07-07 05:00:00+02:00,18.4,90.8,2.1
Kalisz,2021-07-07 05:00:00+02:00,20.9,72.6,0.01
Kasprowy Wierch,2021-07-07 05:00:00+02:00,11.2,82.6,0.01
Katowice,2021-07-07 05:00:00+02:00,21,77.4,0
Kêtrzyn,2021-07-07 05:00:00+02:00,21.6,85.9,0.5
Kielce,2021-07-07 05:00:00+02:00,20.9,75.5,0
K³odzko,2021-07-07 05:00:00+02:00,15.8,93.7,0.01
Ko³o,2021-07-07 04:00:00+02:00,19.6,77.8,0
Ko³obrzeg,2021-07-07 05:00:00+02:00,20.1,80.4,6.1
Koszalin,2021-07-07 05:00:00+02:00,20.8,83.7,38.7
Kozienice,2021-07-07 05:00:00+02:00,20.4,86.9,0
Kraków,2021-07-07 05:00:00+02:00,21.1,78.5,0
Krosno,2021-07-07 05:00:00+02:00,19.3,80.8,0
Legnica,2021-07-07 05:00:00+02:00,20.3,79.4,0.01
Lesko,2021-07-07 05:00:00+02:00,18.4,85.6,0
Leszno,2021-07-07 05:00:00+02:00,20.7,71.6,0.8
Lêbork,2021-07-07 05:00:00+02:00,22.8,70.5,1.8
Lublin,2021-07-07 05:00:00+02:00,21.5,79.5,0.01
£eba,2021-07-07 05:00:00+02:00,22.4,76.6,0.5
£ódŸ,2021-07-07 05:00:00+02:00,21.7,73.6,0
Miko³ajki,2021-07-07 05:00:00+02:00,21.6,88.7,18.4
M³awa,2021-07-07 05:00:00+02:00,22.1,72.3,0.01
Nowy S¹cz,2021-07-07 05:00:00+02:00,18.2,89.0,0
Olsztyn,2021-07-07 05:00:00+02:00,21.8,73.7,0
Opole,2021-07-07 05:00:00+02:00,20.3,82.5,0.01
Ostro³êka,2021-07-07 04:00:00+02:00,18.7,95.6,6.6
Pi³a,2021-07-07 05:00:00+02:00,21.1,72.6,0
Platforma,2021-07-07 05:00:00+02:00,21.8,75.6,0
P³ock,2021-07-07 05:00:00+02:00,21.6,76.5,0
Poznañ,2021-07-07 05:00:00+02:00,21.3,73.6,1.3
Przemyœl,2021-07-07 05:00:00+02:00,19.6,85.7,0
Racibórz,2021-07-07 04:00:00+02:00,16.8,91.9,0.01
Resko,2021-07-07 05:00:00+02:00,19.5,81.4,0.2
Rzeszów,2021-07-07 05:00:00+02:00,20.3,85.8,0
Sandomierz,2021-07-07 05:00:00+02:00,21.6,73.6,0
Siedlce,2021-07-07 05:00:00+02:00,21.3,87.5,0
S³ubice,2021-07-07 05:00:00+02:00,18.2,82.9,0.8
Sulejów,2021-07-07 05:00:00+02:00,20.4,78.4,0.01
Suwa³ki,2021-07-07 05:00:00+02:00,20.4,88.6,17.1
Szczecin,2021-07-07 05:00:00+02:00,18.3,92.6,6
Szczecinek,2021-07-07 05:00:00+02:00,20.4,81.5,1.3
Œnie¿ka,2021-07-07 05:00:00+02:00,11.2,98.7,1.3
Œwinoujœcie,2021-07-07 05:00:00+02:00,18,92.6,23.2
Tarnów,2021-07-07 05:00:00+02:00,22.7,72.4,0
Terespol,2021-07-07 05:00:00+02:00,20.9,88.6,0
Toruñ,2021-07-07 05:00:00+02:00,22.3,71.4,0
Ustka,2021-07-07 05:00:00+02:00,21.7,77.5,7.1
Warszawa,2021-07-07 05:00:00+02:00,22,74.6,0
Wieluñ,2021-07-07 05:00:00+02:00,21.5,69.4,0
W³odawa,2021-07-07 05:00:00+02:00,20.7,87.5,0
Wroc³aw,2021-07-07 05:00:00+02:00,19.9,81.4,0.01
Zakopane,2021-07-07 05:00:00+02:00,17.9,80.7,0
Zamoœæ,2021-07-07 05:00:00+02:00,19.9,96.9,0
Zielona Góra,2021-07-07 05:00:00+02:00,18.6,67.6,0.01
Bia³ystok,2021-07-07 06:00:00+02:00,23.1,79.7,0
Bielsko Bia³a,2021-07-07 06:00:00+02:00,23.8,55.2,0
Chojnice,2021-07-07 06:00:00+02:00,21.8,70.4,0
Czêstochowa,2021-07-07 05:00:00+02:00,21.7,68.5,0
Elbl¹g,2021-07-07 06:00:00+02:00,23.6,65.4,0
Gdañsk,2021-07-07 06:00:00+02:00,23.2,69.3,0
Gorzów,2021-07-07 06:00:00+02:00,19.8,72.4,0
Hel,2021-07-07 06:00:00+02:00,22.2,76.6,0
Jelenia Góra,2021-07-07 06:00:00+02:00,19.5,78.8,0
Kalisz,2021-07-07 06:00:00+02:00,22.8,64.4,0
Kasprowy Wierch,2021-07-07 06:00:00+02:00,11.6,83.8,0
Katowice,2021-07-07 06:00:00+02:00,23.5,66.2,0
Kêtrzyn,2021-07-07 06:00:00+02:00,23.6,76.3,0
Kielce,2021-07-07 06:00:00+02:00,23.6,63.3,0
K³odzko,2021-07-07 06:00:00+02:00,19.8,78.8,0
Ko³o,2021-07-07 05:00:00+02:00,22,63.9,0
Ko³obrzeg,2021-07-07 06:00:00+02:00,20.2,79.4,0.01
Koszalin,2021-07-07 06:00:00+02:00,20.9,78.5,0
Kozienice,2021-07-07 06:00:00+02:00,24,70.3,0
Kraków,2021-07-07 06:00:00+02:00,22.9,71.5,0
Krosno,2021-07-07 06:00:00+02:00,21.5,73.6,0
Legnica,2021-07-07 06:00:00+02:00,20.6,78.4,0
Lesko,2021-07-07 06:00:00+02:00,21,74.5,0
Leszno,2021-07-07 06:00:00+02:00,22,69.5,0
Lêbork,2021-07-07 06:00:00+02:00,23.1,70.6,0
Lublin,2021-07-07 06:00:00+02:00,24.9,66.0,0
£eba,2021-07-07 06:00:00+02:00,22.7,78.7,0.01
£ódŸ,2021-07-07 06:00:00+02:00,23.4,67.5,0
Miko³ajki,2021-07-07 06:00:00+02:00,23.2,82.8,0
M³awa,2021-07-07 05:00:00+02:00,22.1,72.3,0.01
Nowy S¹cz,2021-07-07 06:00:00+02:00,20.6,80.5,0
Olsztyn,2021-07-07 06:00:00+02:00,24.4,65.1,0
Opole,2021-07-07 06:00:00+02:00,21.5,73.6,0
Ostro³êka,2021-07-07 06:00:00+02:00,24,72.6,0
Pi³a,2021-07-07 06:00:00+02:00,22.8,65.3,0
Platforma,2021-07-07 06:00:00+02:00,21.2,79.5,0
P³ock,2021-07-07 06:00:00+02:00,24,64.2,0.01
Poznañ,2021-07-07 06:00:00+02:00,22.2,64.3,0
Przemyœl,2021-07-07 05:00:00+02:00,19.6,85.7,0
Racibórz,2021-07-07 06:00:00+02:00,22.9,71.5,0
Resko,2021-07-07 06:00:00+02:00,19,84.6,0.01
Rzeszów,2021-07-07 05:00:00+02:00,20.3,85.8,0
Sandomierz,2021-07-07 06:00:00+02:00,23.8,69.3,0
Siedlce,2021-07-07 06:00:00+02:00,23.4,71.5,0
S³ubice,2021-07-07 06:00:00+02:00,18,79.7,0.4
Sulejów,2021-07-07 06:00:00+02:00,23.2,70.1,0
Suwa³ki,2021-07-07 06:00:00+02:00,22.4,80.7,0
Szczecin,2021-07-07 06:00:00+02:00,18.2,92.0,1
Szczecinek,2021-07-07 06:00:00+02:00,21.6,76.5,0
Œnie¿ka,2021-07-07 06:00:00+02:00,10.7,100.0,0.2
Œwinoujœcie,2021-07-07 06:00:00+02:00,18,89.6,0.01
Tarnów,2021-07-07 06:00:00+02:00,24.7,58.0,0
Terespol,2021-07-07 06:00:00+02:00,22.9,81.8,0
Toruñ,2021-07-07 06:00:00+02:00,24,67.2,0
Ustka,2021-07-07 06:00:00+02:00,21.5,80.6,0
Warszawa,2021-07-07 06:00:00+02:00,23.8,68.5,0
Wieluñ,2021-07-07 06:00:00+02:00,24.3,66.4,0
W³odawa,2021-07-07 06:00:00+02:00,22.9,78.7,0
Wroc³aw,2021-07-07 06:00:00+02:00,21.7,70.4,0
Zakopane,2021-07-07 05:00:00+02:00,17.9,80.7,0
Zamoœæ,2021-07-07 06:00:00+02:00,22.4,79.6,0
Zielona Góra,2021-07-07 06:00:00+02:00,19,67.7,0
